年份,比赛场次,总进球数,场均进球,主队进球,客队进球,主队胜场,客队胜场,平局场数,场均观众,半场进球,主队胜率,客队胜率,平局率,半场进球占比
1930,18,70,3.8889,59,11,18,0,0,32808.2778,32,1.0,0.0,0.0,0.4571
1934,17,70,4.1176,48,22,16,0,1,21352.9412,29,0.9412,0.0,0.0588,0.4143
1938,18,84,4.6667,61,23,15,0,3,20872.2222,30,0.8333,0.0,0.1667,0.3571
1950,22,88,4.0,69,19,19,0,3,39593.3636,41,0.8636,0.0,0.1364,0.4659
1954,26,140,5.3846,109,31,24,0,2,29561.8077,59,0.9231,0.0,0.0769,0.4214
1958,35,126,3.6,88,38,24,1,10,23423.1429,54,0.6857,0.0286,0.2857,0.4286
1962,32,89,2.7812,69,20,27,0,5,27911.625,39,0.8438,0.0,0.1562,0.4382
1966,32,89,2.7812,69,20,27,0,5,48847.9688,40,0.8438,0.0,0.1562,0.4494
1970,32,95,2.9688,72,23,27,0,5,50124.2188,32,0.8438,0.0,0.1562,0.3368
1974,38,97,2.5526,51,46,15,13,10,49098.7632,45,0.3947,0.3421,0.2632,0.4639
1978,38,102,2.6842,79,23,29,0,9,40678.7105,50,0.7632,0.0,0.2368,0.4902
1982,52,146,2.8077,97,49,26,9,17,40571.5962,48,0.5,0.1731,0.3269,0.3288
1986,52,132,2.5385,74,58,21,17,14,45419.0096,48,0.4038,0.3269,0.2692,0.3636
1990,52,115,2.2115,67,48,27,13,12,48388.75,32,0.5192,0.25,0.2308,0.2783
1994,52,141,2.7115,83,58,26,15,11,68991.1154,62,0.5,0.2885,0.2115,0.4397
1998,64,171,2.6719,98,73,28,17,19,43517.1875,66,0.4375,0.2656,0.2969,0.386
2002,64,161,2.5156,89,72,27,21,16,42268.7031,65,0.4219,0.3281,0.25,0.4037
2006,64,147,2.2969,86,61,32,17,15,52491.2344,66,0.5,0.2656,0.2344,0.449
2010,64,145,2.2656,76,69,23,25,16,49669.625,57,0.3594,0.3906,0.25,0.3931
2014,80,206,2.575,99,107,37,26,17,55374.9103,74,0.4625,0.325,0.2125,0.3592
