,Pearson相关系数,Spearman相关系数,平均相关系数
成绩排名差,0.2286285258020082,0.23263371510362224,0.23063112045281522
场均进球差,0.22702576785541786,0.23075348295676762,0.22888962540609276
比赛场次差,0.23809548323865817,0.20635616439257282,0.2222258238156155
参赛次数差,0.23169945269697328,0.1947954904580112,0.21324747157749224
场均净胜球差,0.2117620911119677,0.19925317726528713,0.2055076341886274
近3届场均进球差,0.19354449879249905,0.20023902049102127,0.19689175964176014
净胜球差,0.19902674286848795,0.1934133223564544,0.19622003261247117
半场胜率差,0.16455028221714238,0.16879761380206648,0.16667394800960444
场均半场进球差,0.15904650784088636,0.15686919329539736,0.15795785056814188
淘汰赛胜率差,0.17261268523067977,0.1414262493417952,0.1570194672862375
小组赛胜率差,0.10167385981387551,0.0914795965111618,0.09657672816251867
近3届胜率差,0.08890543904975706,0.07699982964120447,0.08295263434548077
交锋净胜球,0.07898037361952812,0.07640756677958245,0.07769397019955529
阶段类型,0.05869759487594262,0.07251467309335195,0.06560613398464729
交锋胜率,0.020005283946109082,0.0003983203392500684,0.010201802142679576
交锋胜场,-0.01894521841139005,-0.01158714581056505,-0.01526618211097755
场均失球差,-0.02078644368920209,-0.03826732964691697,-0.029526886668059527
交锋平局,-0.06417736833157793,-0.06835566325661227,-0.0662665157940951
交锋总场次,-0.09135928737747136,-0.056357484366113444,-0.0738583858717924
交锋负场,-0.11598658897842663,-0.09131370851635083,-0.10365014874738873
