,训练集准确率,测试集准确率,测试集精确率,测试集召回率,测试集F1分数
逻辑回归,0.49045521292217326,0.4853801169590643,0.5323124301452474,0.4853801169590643,0.5016474413659237
随机森林,0.9574155653450808,0.5672514619883041,0.555752311015469,0.5672514619883041,0.560072458914278
梯度提升,0.8972099853157122,0.5847953216374269,0.5244092199309189,0.5847953216374269,0.5333915597073492
XGBoost,0.8164464023494861,0.5964912280701754,0.5304643374818814,0.5964912280701754,0.5362867904064437
LightGBM,0.8428781204111601,0.5380116959064327,0.5687914825685723,0.5380116959064327,0.5500569545419427
K近邻,0.9882525697503671,0.5614035087719298,0.5163264991640277,0.5614035087719298,0.5165734670321259
支持向量机,0.6270190895741556,0.5029239766081871,0.5373771730914588,0.5029239766081871,0.5145212877018175
CatBoost,0.6505139500734214,0.5964912280701754,0.5059797380775883,0.5964912280701754,0.5186436452011208
Voting集成,0.6740088105726872,0.6023391812865497,0.5408642471318245,0.6023391812865497,0.5476896950696076
Stacking集成,0.6358296622613803,0.52046783625731,0.5338987565532187,0.52046783625731,0.5247818725086817
